,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_o_unambig,prob_o_ambig,revealed_o_ambig,revealed_x_ambig,prob_o_ambig_bayes,MID
0,1.0,0.33999999999999997,0.24,0.48,0.29,1.0,12.0,50.0,1.0,1.0,0,0.0,shock,0.29,0.48,0.33999999999999997,0.24,12.0,38.0,0.25,S5
1,0.0,0.54,0.16000000000000003,0.64,0.38,1.0,8.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.38,0.64,0.54,0.16000000000000003,8.000000000000002,42.0,0.1730769230769231,S5
2,1.0,0.88,0.12,1.24,0.05,0.4,3.0,20.0,0.6324555320336759,1.0,1,0.0,shock,0.05,1.24,0.88,0.12,3.0,17.0,0.18181818181818182,S5
3,1.0,0.24,0.12,0.2,0.06,0.8,5.0,40.0,0.8944271909999159,1.0,1,0.0,shock,0.06,0.2,0.24,0.12,5.0,35.0,0.14285714285714285,S5
4,1.0,0.4,0.28,0.07,0.08,1.0,14.000000000000002,50.0,1.0,1.0,0,0.0,shock,0.08,0.07,0.4,0.28,14.000000000000002,36.0,0.2884615384615385,S5
5,,0.07999999999999996,0.07999999999999996,0.64,0.64,0.2,1.0,10.0,0.4472135954999579,,1,0.0,shock,0.64,0.64,0.07999999999999996,0.07999999999999996,1.0,9.0,0.16666666666666666,S5
6,0.0,0.36,0.28,0.84,0.87,1.0,14.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.87,0.84,0.36,0.28,14.000000000000002,36.0,0.2884615384615385,S5
7,0.0,0.24,0.56,0.65,1.34,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,shock,1.34,0.65,0.24,0.56,1.0,0.0,0.6666666666666666,S5
8,0.0,0.24,0.42000000000000004,0.13,0.29,0.2,5.0,10.0,0.4472135954999579,0.0,1,0.0,shock,0.29,0.13,0.24,0.42000000000000004,5.0,5.0,0.5,S5
9,0.0,0.26,0.56,0.4,0.68,1.0,28.000000000000004,50.0,1.0,0.0,0,0.0,shock,0.68,0.4,0.26,0.56,28.000000000000004,21.999999999999996,0.5576923076923077,S5
10,1.0,0.8,0.36,0.75,0.94,0.1,2.0,5.0,0.31622776601683794,1.0,1,0.0,shock,0.94,0.75,0.8,0.36,2.0,3.0,0.42857142857142855,S5
11,1.0,0.88,0.12,1.24,0.05,0.2,0.0,10.0,0.4472135954999579,1.0,1,0.0,shock,0.05,1.24,0.88,0.12,0.0,10.0,0.08333333333333333,S5
12,0.0,0.76,0.18000000000000005,0.87,0.12,1.0,9.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.12,0.87,0.76,0.18000000000000005,9.000000000000002,41.0,0.19230769230769235,S5
13,0.0,0.43999999999999995,0.4,0.94,0.98,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,shock,0.98,0.94,0.43999999999999995,0.4,1.0,0.0,0.6666666666666666,S5
14,0.0,0.16000000000000003,0.62,0.2,0.45,0.04,1.0,2.0,0.2,0.0,1,0.0,shock,0.45,0.2,0.16000000000000003,0.62,1.0,1.0,0.5,S5
15,0.0,0.19999999999999996,0.24,0.38,0.39,1.0,12.0,50.0,1.0,0.0,0,0.0,shock,0.39,0.38,0.19999999999999996,0.24,12.0,38.0,0.25,S5
16,0.0,0.24,0.16000000000000003,0.86,0.78,0.06,0.0,3.0,0.2449489742783178,0.0,1,0.0,shock,0.78,0.86,0.24,0.16000000000000003,0.0,3.0,0.2,S5
17,1.0,0.4,0.4,1.0,0.98,0.1,2.0,5.0,0.31622776601683794,1.0,1,0.0,shock,0.98,1.0,0.4,0.4,2.0,3.0,0.42857142857142855,S5
18,0.0,0.92,0.6,0.54,0.2,1.0,30.0,50.0,1.0,0.0,0,0.0,shock,0.2,0.54,0.92,0.6,30.0,20.0,0.5961538461538461,S5
19,1.0,0.48,0.07999999999999996,0.29,0.16,1.0,3.9999999999999982,50.0,1.0,1.0,0,0.0,shock,0.16,0.29,0.48,0.07999999999999996,3.9999999999999982,46.0,0.09615384615384612,S5
20,0.0,0.12,0.19999999999999996,0.06,0.08,0.4,5.0,20.0,0.6324555320336759,0.0,1,0.0,shock,0.08,0.06,0.12,0.19999999999999996,5.0,15.0,0.2727272727272727,S5
21,1.0,0.28,0.48,0.21,0.58,1.0,24.0,50.0,1.0,1.0,0,0.0,shock,0.58,0.21,0.28,0.48,24.0,26.0,0.4807692307692308,S5
22,0.0,0.06000000000000005,0.72,0.2,0.8,0.08,3.0,4.0,0.282842712474619,0.0,1,0.0,shock,0.8,0.2,0.06000000000000005,0.72,3.0,1.0,0.6666666666666666,S5
23,1.0,0.76,0.07999999999999996,0.21,0.16,1.0,3.9999999999999982,50.0,1.0,1.0,0,0.0,shock,0.16,0.21,0.76,0.07999999999999996,3.9999999999999982,46.0,0.09615384615384612,S5
24,0.0,0.48,0.72,0.29,0.18,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,shock,0.18,0.29,0.48,0.72,1.0,0.0,0.6666666666666666,S5
25,0.0,0.48,0.16000000000000003,0.7,0.38,1.0,8.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.38,0.7,0.48,0.16000000000000003,8.000000000000002,42.0,0.1730769230769231,S5
26,0.0,0.54,0.7,0.73,1.01,0.04,1.0,2.0,0.2,0.0,1,0.0,shock,1.01,0.73,0.54,0.7,1.0,1.0,0.5,S5
27,1.0,0.12,0.14,0.24,0.19,1.0,7.000000000000001,50.0,1.0,1.0,0,0.0,shock,0.19,0.24,0.12,0.14,7.000000000000001,43.0,0.15384615384615385,S5
28,0.0,0.040000000000000036,0.6799999999999999,0.63,0.94,0.8,26.0,40.0,0.8944271909999159,0.0,1,0.0,shock,0.94,0.63,0.040000000000000036,0.6799999999999999,26.0,14.0,0.6428571428571429,S5
29,0.0,0.07999999999999996,0.76,0.16,0.62,0.4,14.0,20.0,0.6324555320336759,0.0,1,0.0,shock,0.62,0.16,0.07999999999999996,0.76,14.0,6.0,0.6818181818181818,S5
30,1.0,0.19999999999999996,0.48,0.45,0.59,1.0,24.0,50.0,1.0,1.0,0,0.0,shock,0.59,0.45,0.19999999999999996,0.48,24.0,26.0,0.4807692307692308,S5
31,1.0,0.4,0.19999999999999996,1.0,0.67,1.0,9.999999999999998,50.0,1.0,1.0,0,0.0,shock,0.67,1.0,0.4,0.19999999999999996,9.999999999999998,40.0,0.2115384615384615,S5
32,1.0,0.24,0.48,0.44,0.5,1.0,24.0,50.0,1.0,1.0,0,0.0,shock,0.5,0.44,0.24,0.48,24.0,26.0,0.4807692307692308,S5
33,0.0,0.43999999999999995,0.6799999999999999,1.07,0.94,1.0,34.0,50.0,1.0,0.0,0,0.0,shock,0.94,1.07,0.43999999999999995,0.6799999999999999,34.0,16.0,0.6730769230769231,S5
34,0.0,0.06000000000000005,0.72,0.2,0.8,0.06,2.0,3.0,0.2449489742783178,0.0,1,0.0,shock,0.8,0.2,0.06000000000000005,0.72,2.0,1.0,0.6,S5
35,0.0,0.72,0.4,0.18,0.25,1.0,20.0,50.0,1.0,0.0,0,0.0,shock,0.25,0.18,0.72,0.4,20.0,30.0,0.40384615384615385,S5
36,1.0,0.28,0.06000000000000005,0.31,0.2,0.4,1.0,20.0,0.6324555320336759,1.0,1,0.0,shock,0.2,0.31,0.28,0.06000000000000005,1.0,19.0,0.09090909090909091,S5
37,0.0,0.52,0.4,0.1,0.5,1.0,20.0,50.0,1.0,0.0,0,0.0,shock,0.5,0.1,0.52,0.4,20.0,30.0,0.40384615384615385,S5
38,1.0,0.42000000000000004,0.42000000000000004,0.05,0.17,0.08,1.0,4.0,0.282842712474619,1.0,1,0.0,shock,0.17,0.05,0.42000000000000004,0.42000000000000004,1.0,3.0,0.3333333333333333,S5
39,0.0,0.48,0.74,0.7,1.1,0.1,3.0,5.0,0.31622776601683794,0.0,1,0.0,shock,1.1,0.7,0.48,0.74,3.0,2.0,0.5714285714285714,S5
40,0.0,0.19999999999999996,0.16000000000000003,0.22,0.07,0.02,0.0,1.0,0.1414213562373095,0.0,1,0.0,shock,0.07,0.22,0.19999999999999996,0.16000000000000003,0.0,1.0,0.3333333333333333,S5
41,1.0,0.6599999999999999,0.76,0.16,0.14,1.0,38.0,50.0,1.0,1.0,0,0.0,shock,0.14,0.16,0.6599999999999999,0.76,38.0,12.0,0.75,S5
42,0.0,0.040000000000000036,0.07999999999999996,0.63,0.33,0.08,0.0,4.0,0.282842712474619,0.0,1,0.0,shock,0.33,0.63,0.040000000000000036,0.07999999999999996,0.0,4.0,0.16666666666666666,S5
43,0.0,0.040000000000000036,0.76,0.05,1.25,1.0,38.0,50.0,1.0,0.0,0,0.0,shock,1.25,0.05,0.040000000000000036,0.76,38.0,12.0,0.75,S5
44,,0.4,0.07999999999999996,0.58,0.27,0.06,0.0,3.0,0.2449489742783178,,1,0.0,shock,0.27,0.58,0.4,0.07999999999999996,0.0,3.0,0.2,S5
45,1.0,0.5800000000000001,0.09999999999999998,0.11,0.15,0.8,3.0,40.0,0.8944271909999159,1.0,1,0.0,shock,0.15,0.11,0.5800000000000001,0.09999999999999998,3.0,37.0,0.09523809523809523,S5
46,0.0,0.45999999999999996,0.48,0.51,0.43,1.0,24.0,50.0,1.0,0.0,0,0.0,shock,0.43,0.51,0.45999999999999996,0.48,24.0,26.0,0.4807692307692308,S5
47,0.0,0.19999999999999996,0.28,0.77,0.81,1.0,14.000000000000002,50.0,1.0,0.0,0,0.0,shock,0.81,0.77,0.19999999999999996,0.28,14.000000000000002,36.0,0.2884615384615385,S5
48,0.0,0.6,0.36,0.75,0.94,1.0,18.0,50.0,1.0,0.0,0,0.0,shock,0.94,0.75,0.6,0.36,18.0,32.0,0.36538461538461536,S5
49,1.0,0.88,0.12,1.24,0.05,0.04,0.0,2.0,0.2,1.0,1,0.0,shock,0.05,1.24,0.88,0.12,0.0,2.0,0.25,S5
50,0.0,0.52,0.76,1.15,0.79,1.0,38.0,50.0,1.0,0.0,0,0.0,shock,0.79,1.15,0.52,0.76,38.0,12.0,0.75,S5
51,0.0,0.24,0.48,1.25,0.63,0.2,6.0,10.0,0.4472135954999579,0.0,1,0.0,shock,0.63,1.25,0.24,0.48,6.0,4.0,0.5833333333333334,S5
52,1.0,0.74,0.74,0.34,0.49,1.0,37.0,50.0,1.0,1.0,0,0.0,shock,0.49,0.34,0.74,0.74,37.0,13.0,0.7307692307692307,S5
53,1.0,0.52,0.28,0.29,0.18,0.08,1.0,4.0,0.282842712474619,1.0,1,0.0,shock,0.18,0.29,0.52,0.28,1.0,3.0,0.3333333333333333,S5
54,0.0,0.30000000000000004,0.84,0.54,0.2,1.0,42.0,50.0,1.0,0.0,0,0.0,shock,0.2,0.54,0.30000000000000004,0.84,42.0,8.0,0.8269230769230769,S5
55,1.0,0.72,0.96,0.84,0.71,1.0,48.0,50.0,1.0,1.0,0,0.0,shock,0.71,0.84,0.72,0.96,48.0,2.0,0.9423076923076923,S5
56,1.0,0.84,0.64,0.36,0.23,1.0,32.0,50.0,1.0,1.0,0,0.0,shock,0.23,0.36,0.84,0.64,32.0,18.0,0.6346153846153846,S5
57,,0.24,0.48,1.25,0.63,0.04,0.0,2.0,0.2,,1,0.0,shock,0.63,1.25,0.24,0.48,0.0,2.0,0.25,S5
58,1.0,0.52,0.28,0.29,0.18,0.06,1.0,3.0,0.2449489742783178,1.0,1,0.0,shock,0.18,0.29,0.52,0.28,1.0,2.0,0.4,S5
59,0.0,0.72,0.88,0.92,0.67,1.0,44.0,50.0,1.0,0.0,0,0.0,shock,0.67,0.92,0.72,0.88,44.0,6.0,0.8653846153846154,S5
60,0.0,0.52,0.31999999999999995,0.1,0.94,1.0,15.999999999999998,50.0,1.0,0.0,0,0.0,shock,0.94,0.1,0.52,0.31999999999999995,15.999999999999998,34.0,0.3269230769230769,S5
61,1.0,0.4,0.88,0.75,0.17,1.0,44.0,50.0,1.0,1.0,0,0.0,shock,0.17,0.75,0.4,0.88,44.0,6.0,0.8653846153846154,S5
62,0.0,0.38,0.5800000000000001,0.44,0.23,0.4,12.0,20.0,0.6324555320336759,0.0,1,0.0,shock,0.23,0.44,0.38,0.5800000000000001,12.0,8.0,0.5909090909090909,S5
63,1.0,0.92,0.88,0.55,0.61,1.0,44.0,50.0,1.0,1.0,0,0.0,shock,0.61,0.55,0.92,0.88,44.0,6.0,0.8653846153846154,S5
64,0.0,0.6,0.6799999999999999,0.5,0.07,1.0,34.0,50.0,1.0,0.0,0,0.0,shock,0.07,0.5,0.6,0.6799999999999999,34.0,16.0,0.6730769230769231,S5
65,1.0,0.62,0.6,0.19,0.27,0.06,1.0,3.0,0.2449489742783178,1.0,1,0.0,shock,0.27,0.19,0.62,0.6,1.0,2.0,0.4,S5
66,1.0,0.28,0.64,0.54,0.23,0.04,1.0,2.0,0.2,1.0,1,0.0,shock,0.23,0.54,0.28,0.64,1.0,1.0,0.5,S5
67,1.0,0.88,0.8,0.75,0.71,1.0,40.0,50.0,1.0,1.0,0,0.0,shock,0.71,0.75,0.88,0.8,40.0,10.0,0.7884615384615384,S5
68,0.0,0.92,0.28,0.16,0.54,0.08,1.0,4.0,0.282842712474619,0.0,1,0.0,shock,0.54,0.16,0.92,0.28,1.0,3.0,0.3333333333333333,S5
69,1.0,0.64,0.88,0.81,0.67,0.04,1.0,2.0,0.2,1.0,1,0.0,shock,0.67,0.81,0.64,0.88,1.0,1.0,0.5,S5
70,0.0,0.84,0.6799999999999999,0.71,0.44,1.0,34.0,50.0,1.0,0.0,0,0.0,shock,0.44,0.71,0.84,0.6799999999999999,34.0,16.0,0.6730769230769231,S5
71,1.0,0.64,0.18000000000000005,0.28,0.74,1.0,9.000000000000002,50.0,1.0,1.0,0,0.0,shock,0.74,0.28,0.64,0.18000000000000005,9.000000000000002,41.0,0.19230769230769235,S5
72,1.0,0.8,0.84,0.22,0.07,0.8,32.0,40.0,0.8944271909999159,1.0,1,0.0,shock,0.07,0.22,0.8,0.84,32.0,8.0,0.7857142857142857,S5
73,1.0,0.24,0.48,1.25,0.63,0.4,11.0,20.0,0.6324555320336759,1.0,1,0.0,shock,0.63,1.25,0.24,0.48,11.0,9.0,0.5454545454545454,S5
74,0.0,0.94,0.28,0.2,0.8,0.02,0.0,1.0,0.1414213562373095,0.0,1,0.0,shock,0.8,0.2,0.94,0.28,0.0,1.0,0.3333333333333333,S5
75,1.0,0.48,0.9,0.06,0.06,1.0,45.0,50.0,1.0,1.0,0,0.0,shock,0.06,0.06,0.48,0.9,45.0,5.0,0.8846153846153846,S5
76,1.0,0.72,0.4,0.42,0.38,1.0,20.0,50.0,1.0,1.0,0,0.0,shock,0.38,0.42,0.72,0.4,20.0,30.0,0.40384615384615385,S5
77,0.0,0.9,0.16000000000000003,0.42,1.33,0.1,0.0,5.0,0.31622776601683794,0.0,1,0.0,shock,1.33,0.42,0.9,0.16000000000000003,0.0,5.0,0.14285714285714285,S5
78,0.0,0.6799999999999999,0.54,0.02,0.07,1.0,27.0,50.0,1.0,0.0,0,0.0,shock,0.07,0.02,0.6799999999999999,0.54,27.0,23.0,0.5384615384615384,S5
79,1.0,0.36,0.30000000000000004,0.92,0.9,1.0,15.000000000000002,50.0,1.0,1.0,0,0.0,shock,0.9,0.92,0.36,0.30000000000000004,15.000000000000002,35.0,0.3076923076923077,S5
80,0.0,0.36,0.6799999999999999,0.14,0.22,0.06,2.0,3.0,0.2449489742783178,0.0,1,0.0,shock,0.22,0.14,0.36,0.6799999999999999,2.0,1.0,0.6,S5
81,1.0,0.6599999999999999,0.96,0.42,0.23,0.02,1.0,1.0,0.1414213562373095,1.0,1,0.0,shock,0.23,0.42,0.6599999999999999,0.96,1.0,0.0,0.6666666666666666,S5
82,0.0,0.6599999999999999,0.96,0.42,0.23,0.8,39.0,40.0,0.8944271909999159,0.0,1,0.0,shock,0.23,0.42,0.6599999999999999,0.96,39.0,1.0,0.9523809523809523,S5
83,0.0,0.52,0.96,1.15,0.31,1.0,48.0,50.0,1.0,0.0,0,0.0,shock,0.31,1.15,0.52,0.96,48.0,2.0,0.9423076923076923,S5
